IMDb,classify,douban,title,year
6.3,奇幻/冒险,6.3,　魔境仙踪/奥兹大帝(台)/奥兹巫师/绿野仙踪/伟大而强大的奥兹/伟大的奥兹国魔法师,2013
6.3,奇幻/冒险,6.3,　魔境仙踪/奥兹大帝(台)/奥兹巫师/绿野仙踪/伟大而强大的奥兹/伟大的奥兹国魔法师,2013
6.6,动作/科幻/奇幻/冒险,6.2,　异星战场/异星战场: 强卡特战记(台)/异星争霸战：尊卡特传奇(港)/约翰·卡特/火星上的约翰·卡特/异星战场：约翰·卡特传奇,2012
6.6,动作/科幻/奇幻/冒险,6.2,　异星战场/异星战场: 强卡特战记(台)/异星争霸战：尊卡特传奇(港)/约翰·卡特/火星上的约翰·卡特/异星战场：约翰·卡特传奇,2012
6.5,动作/冒险,6.1,　泰山归来：险战丛林/新人猿泰山/泰山归来：人猿大战/泰山传奇：森林争霸(港)/泰山传奇(台),2016
6.5,动作/冒险,6.1,　泰山归来：险战丛林/新人猿泰山/泰山归来：人猿大战/泰山传奇：森林争霸(港)/泰山传奇(台),2016
6.5,动作/冒险,6.1,　泰山归来：险战丛林/新人猿泰山/泰山归来：人猿大战/泰山传奇：森林争霸(港)/泰山传奇(台),2016
6.5,动作/冒险,6.1,　泰山归来：险战丛林/新人猿泰山/泰山归来：人猿大战/泰山传奇：森林争霸(港)/泰山传奇(台),2016
6,剧情/歌舞/爱情,6.1,　军中红,1953
6.4,剧情/爱情/科幻/奇幻,6.1,　逆世界/颠倒世界(台)/逆天奇缘(港)/翻天寻爱/交替空间/逆天寻爱/逆世界3D,2012
6.4,剧情/爱情/科幻/奇幻,6.1,　逆世界/颠倒世界(台)/逆天奇缘(港)/翻天寻爱/交替空间/逆天寻爱/逆世界3D,2012
3.6,惊悚,5.9,　大白鲨3/大白鲨3D,1983
6.1,喜剧/动作/奇幻,5.8,　西游记之大闹天宫续集/西游记之三打白骨精/三打白骨精,2016
6.1,喜剧/动作/奇幻,5.8,　西游记之大闹天宫续集/西游记之三打白骨精/三打白骨精,2016
6.6,恐怖/科幻/惊悚,5.8,　宇宙访客,1953
6.6,恐怖/科幻/惊悚,5.8,　宇宙访客,1953
5.7,动作/科幻/惊悚/恐怖,5.8,　驱魔者/猎魔教士3D(台)/天神魔煞(港)/魔鬼教父/牧师/圣徒,2011
5.7,动作/科幻/惊悚/恐怖,5.8,　驱魔者/猎魔教士3D(台)/天神魔煞(港)/魔鬼教父/牧师/圣徒,2011
5.4,动作/科幻/冒险/灾难,5.7,　独立日：卷土重来/独立日2/天煞-地球反击战2(港)/ID4星际重生(台)/独立日2：卷土重来/独立日2：复活/独立日：永恒1/天煞-地球反击战2,2016
5.4,动作/科幻/冒险/灾难,5.7,　独立日：卷土重来/独立日2/天煞-地球反击战2(港)/ID4星际重生(台)/独立日2：卷土重来/独立日2：复活/独立日：永恒1/天煞-地球反击战2,2016
5.4,动作/科幻/冒险/灾难,5.7,　独立日：卷土重来/独立日2/天煞-地球反击战2(港)/ID4星际重生(台)/独立日2：卷土重来/独立日2：复活/独立日：永恒1/天煞-地球反击战2,2016
5.3,惊悚/恐怖,5.7,　恶魔/叫魂(台)/恐怖屋,2015
5.3,惊悚/恐怖,5.7,　恶魔/叫魂(台)/恐怖屋,2015
5.9,剧情/动作/奇幻/冒险,5.6,　波西·杰克逊与魔兽之海/波西杰克森：妖魔之海(港/台)/波西杰克逊2/波西·杰克逊与海怪,2013
5.9,剧情/动作/奇幻/冒险,5.6,　波西·杰克逊与魔兽之海/波西杰克森：妖魔之海(港/台)/波西杰克逊2/波西·杰克逊与海怪,2013
6.2,动作/历史/科幻/冒险,5.6,　刺客信条/刺客教条(港/台),2016
6.2,动作/历史/科幻/冒险,5.6,　刺客信条/刺客教条(港/台),2016
6.2,动作/历史/科幻/冒险,5.6,　刺客信条/刺客教条(港/台),2016
5.9,动作/奇幻/惊悚,5.6,　黑夜传说5：血战/妖夜寻狼：世纪血战(港)/决战异世界5 弑血之战(台)/黑夜传说5,2016
5.9,动作/奇幻/惊悚,5.6,　黑夜传说5：血战/妖夜寻狼：世纪血战(港)/决战异世界5 弑血之战(台)/黑夜传说5,2016
5.6,剧情/恐怖,5.6,　小丑,2014
5.6,剧情/恐怖,5.6,　小丑,2014
6.3,剧情/动作/奇幻,5.6,　四十七浪人/浪人四十七/浪魂 47(港),2013
6.3,剧情/动作/奇幻,5.6,　四十七浪人/浪人四十七/浪魂 47(港),2013
5.3,动作/犯罪,5.4,　冬荫功2：拳霸天下/拳霸：冬荫功2,2013
5,惊悚/恐怖,5.2,　鬼驱人/凶灵入侵/鬼哭神嚎：恶灵15(台)/吵闹鬼,2015
5,惊悚/恐怖,5.2,　鬼驱人/凶灵入侵/鬼哭神嚎：恶灵15(台)/吵闹鬼,2015
